Tanggal,Kelembaban (%),Suhu (Â°C)
01-11-2025,92,26.3
02-11-2025,91,27.0
03-11-2025,89,27.0
04-11-2025,84,27.6
05-11-2025,82,27.8
06-11-2025,76,29.0
07-11-2025,77,28.1
08-11-2025,74,29.1
09-11-2025,85,28.2
10-11-2025,81,27.5
11-11-2025,85,27.3
12-11-2025,83,27.2
13-11-2025,95,25.2
14-11-2025,92,26.5
15-11-2025,89,26.5
16-11-2025,90,26.3
17-11-2025,84,27.8
18-11-2025,87,26.9
19-11-2025,85,27.4
20-11-2025,86,27.6
21-11-2025,86,26.7
22-11-2025,82,27.7
23-11-2025,80,28.4
24-11-2025,85,27.9
25-11-2025,91,26.2
26-11-2025,78,28.3
27-11-2025,91,26.7
28-11-2025,78,27.8
29-11-2025,80,28.2
30-11-2025,89,26.9